title,year
Honor Bound,1920
The Hope,1920
The Hound of the Baskervilles,1921
The Hour of Trial,1920
The House of Whispers,1920
The House of the Tolling Bell,1920
Huckleberry Finn,1920
Human Collateral,1920
Human Stuff,1920
Humoresque,1920
Der Hund von Baskerville - 6. Teil: Das Haus ohne Fenster,1920
The Husband Hunter,1920
The Husband Hunter,1920
The Idol Dancer,1920
If I Were King,1920
Im Banne der Suggestion,1920
In Folly's Trail,1920
In Search of a Sinner,1920
The Unapproachable Woman,1921
The Inferior Sex,1920
The Inner Voice,1920
The Invisible Divorce,1920
The Invisible Hand,1920
The Invisible Ray,1920
The Iron Heart,1920
The Iron Rider,1920
Isobel or the Trail's End,1920
It Might Happen to You,1920
Jack Straw,1920
The Jack-Knife Man,1920
Die Jagd nach dem Tode,1920
Die Jagd nach der Wahrheit,1921
The Jailbird,1920
The Head of Janus,1920
Jenny Be Good,1920
Jes' Call Me Jim,1920
Johannes Goth,1920
The Joyous Trouble-Makers,1920
The Jucklins,1921
Judith Trachtenberg,1920
Judy of Rogues' Harbor,1920
El judío polaco,1920
Just Pals,1920
Just a Wife,1920
Kakadu und Kiebitz,1920
Jackal,1920
Karin Ingmarsdotter,1920
The Kentucky Colonel,1920
A kétarcú asszony,1920
King of the Circus,1920
Kismet,1920
The Monastery's Hunter,1920
Klostret i Sendomir,1920
Kohlhiesel's Daughters,1920
Das Kreuz am Teufelsfelsen,1920
Kurfürstendamm,1920
The Courier from Lisbon,1921
Die Kwannon von Okadera,1920
Temperamental Artist,1920
La La Lucille,1920
Das lachende Grauen,1920
The Ladder of Lies,1920
A Lady in Love,1920
Lady Noggs: Peeress,1920
Lady Rose's Daughter,1920
The Land of Jazz,1920
The Last Straw,1920
The Last of the Mohicans,1920
The Law Divine,1920
The Law of the Yukon,1920
Leave It to Me,1920
Leather Stocking: The Deerslayer and Chingachgook,1920
Leather Stocking: The Last of the Mohicans,1920
The Leopard Woman,1920
Let's Be Fashionable,1920
El león,1920
Liebestaumel,1921
The Life of the Party,1920
Life's Twist,1920
Lifting Shadows,1920
Little Dorrit,1920
The Little Grey Mouse,1920
Little Miss Rebellion,1920
The Little Wanderer,1920
La llaga,1920
"Lo, die Kokette",1920
Locked Lips,1920
Lolo,1920
London Pride,1920
The Lost City,1920
The Love Expert,1920
The Love Flower,1920
Love Madness,1920
Love Without Question,1920
Love's Harvest,1920
"Love, Honor and Behave!",1920
The Luck of Geraldine Laird,1920
The Luck of the Irish,1920
Le lys de la vie,1920
Maciste in vacanza,1921
Maciste salvato dalle acque,1921
Madame Récamier,1920
Madame X,1920
The Man from Kangaroo,1920
A Broadway Cowboy,1920
The Man Who Dared,1920
The Man Who Lost Himself,1920
Man and His Woman,1920
A Man from Nowhere,1920
Man's Plaything,1920
A Manhattan Knight,1920
Der Mann ohne Namen - 1. Der Millionendieb,1921
Manolescus Memoiren,1920
The Mark of Zorro,1920
Markens grøde,1921
Marooned Hearts,1920
The Marquise of O,1920
The Marriage Pit,1920
Married Life,1920
Das Martyrium,1920
Mary Ellen Comes to Town,1920
"Mary Latimer, Nun",1920
Mary's Ankle,1920
Masamód,1920
The Master Mind,1920
A Master Stroke,1920
Merely Mary Ann,1920
"Miarka, the Child of the Bear",1920
Mid-Channel,1920
The Midlanders,1920
The Midnight Bride,1920
Midsummer Madness,1920
Milestones,1920
Un millonario va a casarse,1920
The Miracle of Money,1920
The Misfit Wife,1920
The Misleading Lady,1920
Miss Hobbs,1920
Miss Nobody,1920
"Moi aussi, j'accuse",1923
Molly and I,1920
The Mollycoddle,1920
The Money Changers,1920
Monsieur Lebureau,1920
Moon Madness,1920
The Moon Riders,1920
Mord... die Tragödie des Hauses Garrick,1920
Der Mormonenonkel,1920
The Mother of His Children,1920
Mothers of Men,1920
Mountain Madness,1920
Mr. Gilfil's Love Story,1920
Mrs. Temple's Telegram,1920
Mrs. Tutti Frutti,1921
La muerte de Joselito,1920
The Mutiny of the Elsinore,1920
My Lady's Garter,1920
The Mystery Mind,1920
La mártir,1921
Mátame,1920
Mästerman,1920
Na krasnom fronte,1920
Die Nacht auf Goldenhall,1920
Die Nacht der Königin Isabeau,1920
Die Nacht ohne Morgen,1921
Nachtbesuch in der Northernbank,1921
Nance,1920
Narayana,1920
The New York Idea,1920
Noche de estreno,1920
Nomads of the North,1920
The North Wind's Malice,1920
Nothing But Lies,1920
The Notorious Mrs. Sands,1920
Number 17,1920
Nurse Marjorie,1920
Nury,1920
Die Nächte des Cornelis Brouwer,1921
The Great Cattle War,1920
Officer 666,1920
"Oh, Lady, Lady",1920
The Old Arm Chair,1920
Old Dad,1920
An Old Fashioned Boy,1920
Old Lady 31,1920
Oliver Twist,1922
On Our Selection,1920
Once to Every Woman,1920
Once a Plumber,1920
One Hour Before Dawn,1920
The One-Way Trail,1920
El oprobio,1920
The Orphan,1920
Over the Hill to the Poorhouse,1920
Overland Red,1920
The Palace of Darkened Windows,1920
"Parlor, Bedroom and Bath",1920
Partners of the Night,1920
Passers-by,1920
The Path She Chose,1920
Patience,1920
La patrona de Berga,1920
Pax vobiscum,1920
Peaceful Valley,1920
The Peddler of Lies,1920
The Penalty,1920
Penny of Top Hill Trail,1921
The Perfect Woman,1920
Petit ange,1920
Tom Thumb,1920
The Phantom Foe,1920
The Phantom Melody,1920
Pillars of Society,1920
Pink Tights,1920
Pinto,1920
Pirate Gold,1920
The Place of Honeymoons,1920
Pleasure Seekers,1920
The Plunger,1920
The Point of View,1920
Polly of the Storm Country,1920
Polly with a Past,1920
Pollyanna,1920
The Poor Simp,1920
The Poppy Trail,1920
Por teléfono,1920
Port aux Basques,1920
O Porto Pitoresco,1920
Pour don Carlos,1921
Prairie Trails,1920
The Prey,1920
The Price of Redemption,1920
The Pride of the North,1920
The Prince Chap,1920
The Prince of Avenue A,1920
The Prince and the Pauper,1920
The Parson's Widow,1920
The Vicar of Vejlby,1922
The Pursuit of Pamela,1920
Quatre-vingt-treize,1921
Red Foam,1920
The Red Lane,1920
The Merry-Go-Round,1920
The Reincarnation of Serge Renaudier,1920
Remodeling Her Husband,1920
Reproducción de micelas de nitrato de plata por la acción de la luz,1920
Respectable by Proxy,1920
The Restless Sex,1920
The Revenge of Tarzan,1920
The Riddle: Woman,1920
Riders of the Dawn,1920
The Right of Way,1920
The Right to Love,1920
Rio Grande,1920
Risky Business,1920
The River's End,1920
The Road of Ambition,1920
The Road to Divorce,1920
Robbery Under Arms,1920
A Modern Robinson,1920
Rogues and Romance,1920
Der Roman der Komtesse Ruth,1920
Romance,1920
Romeo and Juliet in the Snow,1920
"Romão Gonçalves, Boxeur e Atleta",1920
Rose of Nome,1920
Der rote Falter,1920
Rouge and Riches,1920
The Round-up,1920
Ruth of the Rockies,1920
Sand,1920
The Saphead,1920
Saved from the Sea,1920
The Scarlet Kiss,1920
The Scarlet Wooing,1920
Schakels,1920
Das schleichende Gift,1920
Die schwarze Spinne,1921
Der Schädel der Pharaonentochter,1920
The Scrap of Paper,1920
Scratch My Back,1920
The Screaming Shadow,1920
The Scuttlers,1920
The Sea Rider,1920
The Sea Wolf,1920
The Secret Gift,1920
Seeds of Vengeance,1920
Seeing It Through,1920
Desire,1920
The Servant Question,1920
The Servant in the House,1921
Sex,1920
The Shadow Between,1920
Shadows of the West,1921
The Shark,1920
She Couldn't Help It,1920
She Loves and Lies,1920
Shipwrecked Among Cannibals,1920
Shod with Fire,1920
Shore Acres,1920
The Shuttle of Life,1920
Sick Abed,1920
The Sign on the Door,1921
The Silent Avenger,1920
Silk Husbands and Calico Wives,1920
The Silver Horde,1920
Simple Souls,1920
The Sins of St. Anthony,1920
Sinners,1920
Sinnesrausch,1920
A Sister to Salome,1920
The Six Best Cellars,1920
Das Skelett des Herrn Markutius,1920
Skomakarprinsen,1920
The Skywayman,1920
A Slave of Vanity,1920
Slaves of Pride,1920
The Slim Princess,1920
Smiling All the Way,1920
So Long Letty,1920
Sol de gloria,1928
Something to Think About,1920
The Son of Tarzan,1920
The Soul of Youth,1920
The Spiders - Episode 2: The Diamond Ship,1920
The Spirit of Good,1920
Spiritismus,1920
A Splendid Hazard,1920
The Sporting Duchess,1920
Spuk auf Schloß Kitay,1920
Square Shooter,1920
Der Stern von Damaskus,1920
The Stealers,1920
Stop Thief,1920
La storia di una donna,1920
The Strange Boarder,1920
The Street Called Straight,1920
Stronger Than Death,1920
The Strongest,1920
Der Sturz in die Flammen,1920
Suds,1920
Sumurun,1920
Sundown Slim,1920
Sunset Sprague,1920
Sweet Lavender,1920
The Tattlers,1920
A Temporary Vagabond,1920
Tenacidad,1920
Terror Island,1920
The Terror,1920
Testimony,1920
The Testing Block,1920
Die Teufelsanbeter,1921
The Texan,1920
That Something,1920
The Thief,1920
The Third Eye,1920
The Third Generation,1920
The Third Woman,1920
The 13th Commandment,1920
Thora van Deken,1920
Thou Art the Man,1920
Thoughtless Women,1920
3 Gold Coins,1920
Through Eyes of Men,1920
Thunderbolt Jack,1920
The Tidal Wave,1920
The Tiger Band,1920
The Tiger's Cub,1920
To Please One Woman,1920
A Tokio Siren,1920
The Toll Gate,1920
Trailed by Three,1920
Treasure Island,1920
The Tree of Knowledge,1920
Trent's Last Case,1920
The Triflers,1920
Trilladora trabajando,1920
True Tilda,1920
Trumpet Island,1920
The Truth About Husbands,1920
Twin Beds,1920
Twins of Suffering Creek,1920
Two Kinds of Love,1920
Two Moons,1920
Two Weeks,1920
Tötet nicht mehr,2019
The U.P. Trail,1920
Uncharted Channels,1920
Under Crimson Skies,1920
Under Northern Lights,1920
The Untamed,1920
The Valley of Tomorrow,1920
On the Waves of Happiness,1920
The Vanishing Dagger,1920
Vanishing Trails,1920
The Veiled Marriage,1920
The Veiled Mystery,1920
Velvet Fingers,1920
La venganza del marino,1920
Het verborgen leven,1920
Der verbotene Weg,1920
Die Verwandlung,1920
The Very Idea,1920
The Vice of Fools,1920
Vida cruel,1920
La vida de Joselito y su muerte,1920
A Vila da Ribeira,1920
The Village Sleuth,1920
Village in Crisis,1920
The Witch Virgin,1920
The Virgin of Stamboul,1920
Voices,1920
From Morning to Midnight,1920
John Heriot's Wife,1920
The Walk-Offs,1920
The Wall Street Mystery,1920
The Wandering Image,1920
Wanted at Headquarters,1920
Fate's Plaything,1920
"Water, Water, Everywhere",1920
Way Down East,1920
The Web of Deceit,1920
The Week-End,1920
Weltbrand,1920
West Is West,1920
What Happened to Jones,1920
What Happened to Rosa,1920
What Women Want,1920
What Would You Do?,1920
What's Your Hurry?,1920
What's Your Husband Doing?,1920
When Dawn Came,1920
While New York Sleeps,1920
The Whirlwind,1920
The Whisper Market,1920
Whispering Devils,1920
The White Circle,1920
The White Dove,1920
White Lies,1920
The White Moll,1920
White Youth,1920
Who's Your Servant?,1920
Why Change Your Wife?,1920
The Willow Tree,1920
With All Her Heart,1920
Within Our Gates,1920
Wolf Tracks,1923
The Woman Gives,1920
The Woman and the Puppet,1920
A Woman in Grey,1920
The Woman in His House,1920
The Woman in Room 13,1920
The Woman in the Suitcase,1920
A Woman's Business,1920
Women Men Forget,1920
The Wonder Man,1920
The Wonderful Chance,1920
The World and His Wife,1920
A World of Folly,1920
Would You Forgive?,1920
Wuthering Heights,1920
The Yellow Claw,1920
The Yellow Typhoon,1920
Yes or No,1920
You Never Can Tell,1920
Young Mrs. Winthrop,1920
Youth's Desire,1920
Youthful Folly,1920
El zarco,1920
Gypsy Blood,1920
Zon,1920
As God Made Her,1920
Zuster Brown,1921
Between Night and Dawn,1920
Tillers of the Soil,1923
Ett ödesdigert inkognito,1920
The Ace of Hearts,1921
Across the Divide,1921
Action,1921
The Adventures of Sherlock Holmes,1921
Adventures of Tarzan,1921
The Affairs of Anatol,1921
After Midnight,1921
After Your Own Heart,1921
After the Show,1921
Alf's Button,1920
Alias Ladyfingers,1921
All Dolled Up,1921
All Roads Lead to Calvary,1921
All Souls' Eve,1921
All's Fair in Love,1921
An Amateur Devil,1920
Even as Eve,1920
Love of Perdition,1921
Annabelle Lee,1921
Anne of Little Smoky,1921
Another Man's Boots,1922
Die Apotheke des Teufels,1921
Appearances,1921
Arrest Norma MacGregor,1921
Arsene Lupin's Last Adventure,1921
As the World Rolls On,1921
Ashamed of Parents,1921
The Asian Sun,1921
At the End of the World,1921
At the Stage Door,1921
The Avenging Arrow,1921
The Bait,1921
Bar Nothing,1921
The Barbarian,1921
Bare Knuckles,1921
The Barricade,1921
Be My Wife,1921
Beach of Dreams,1921
Beating the Game,1921
The Stronger Passion,1921
Beau Revel,1921
The Beautiful Gambler,1921
The Beautiful Liar,1921
Behind Masks,1921
Below the Deadline,1921
The Wildcat,1921
Die Beute der Erinnyen,1922
Beyond,1921
Beyond Price,1921
Bhakta Vidur,1922
The Big Adventure,1921
Big Game,1921
The Big Punch,1921
Big Town Ideas,1921
The Big Town Round-Up,1921
Bilet Ferat,1921
Bits of Life,1921
Black Beauty,1921
The Black Panther's Cub,1921
Black Roses,1921
Black Sheep,1921
The Blazing Trail,1921
Blind Hearts,1921
The Blot,1921
The Blue Fox,1921
The Blue Mountains Mystery,1921
The Blushing Bride,1921
Bob Hampton of Placer,1921
The Bonnie Brier Bush,1921
The Border Raiders,1921
Boys Will Be Boys,1921
Branded,1920
The Breaking Point,1921
Breaking Through,1921
Brewster's Millions,1921
Bring Him In,1921
The Broadway Bride,1922
A Broken Doll,1921
The Broken Gate,1920
The Broken Spur,1921
The Bronze Bell,1921
Der Brunnen des Wahnsinns,1921
The Brute Master,1920
Bucking the Line,1921
Bucking the Tiger,1921
Bullets or Ballots,1921
Bunty Pulls the Strings,1921
The Burden of Race,1921
Buried Treasure,1921
Burn 'Em Up Barnes,1921
The Butterfly Girl,1921
Call from the Wild,1921
The Call of the North,1921
Cameron of the Royal Mounted,1921
Camille,1921
Cappy Ricks,1921
Carnaval trágico,1921
Carnival,1921
A Casa dos Filhos dos Soldados do Porto,1921
The Case of Becky,1921
The Cave Girl,1921
A Certain Rich Man,1921
Charge It,1921
The Charm School,1921
The Charming Deceiver,1921
Cheated Hearts,1921
Cheated Love,1921
The Cheater Reformed,1921
The Chicken in the Case,1921
Chickens,1921
The Child Thou Gavest Me,1921
Children of the Night,1921
Chivalrous Charley,1921
"Christian Wahnschaffe, 2. Teil - Die Flucht aus dem goldenen Kerker",1921
Cinderella of the Hills,1921
Cirkus Bimbini,1921
The City of Silent Men,1921
Clay Dollars,1921
Closed Doors,1921
Coincidence,1921
Cold Steel,1921
Colorado,1921
Colorado Pluck,1921
Comemoração do 31 de Janeiro no Porto em 1920,1921
Conceit,1921
The Concert,1921
O Condenado,1921
Conflict,1921
A Connecticut Yankee in King Arthur's Court,1921
The Conquering Power,1921
The Conquest of Canaan,1921
Corinthian Jack,1921
Courage,1921
Cousin Kate,1921
The Cowboy Ace,1921
Crazy to Marry,1921
The Crimson Cross,1921
The Crimson Skull,1922
Crossing Trails,1921
The Cup of Life,1921
Cupid's Brand,1921
Cyclone Bliss,1921
Danger Ahead!,1921
Dangerous Curve Ahead,1921
Dangerous Lies,1921
The Dangerous Moment,1921
Dangerous Paths,1921
Dangerous Toys,1921
Daniel Deronda,1921
Danton,1921
A Daughter of the Law,1921
Dawn of the East,1921
De raza azteca,1921
A Dear Fool,1921
The Deceiver,1920
Desert Blossoms,1921
Desperate Trails,1921
Desperate Youth,1921
Devil Dog Dawson,1921
The Devil Within,1921
The Devil's Confession,1921
The Devil,1921
The Diamond Queen,1921
Discontented Wives,1921
Disraeli,1921
A Divorce of Convenience,1921
Do or Die,1921
The Dollar-a-Year Man,1921
Don't Neglect Your Wife,1921
Don't Tell Everything,1921
Double Adventure,1921
The Double O,1921
Dr. Jim,1921
Dream Street,1921
Du bist das Leben,1921
Ducks and Drakes,1921
Um Duelo Célebre,1921
The Duke of Chimney Butte,1921
Dynamite Allen,1921
East Lynne,1921
The Easy Road,1921
Eden and Return,1921
The Education of Elizabeth,1921
Das Eheparadies,1921
Eldorado,1921
Elisabet,1921
Enchantment,1921
The Eternal Mother,1920
Ever Since Eve,1921
Everything for Sale,1921
Guarded Lips,1921
Exit the Vamp,1921
Extravagance,1921
The Face of the World,1921
The Faith Healer,1921
Der Falschspieler,1920
False Kisses,1921
The Family Closet,1921
The Fast Freight,1922
Felix,1921
Fifty Candles,1921
The Fighter,1921
The Fighting Breed,1921
Fighting Fate,1921
The Fighting Lover,1921
Fightin' Mad,1921
The Fighting Stranger,1921
"Film, flirt og forlovelse",1921
Fine Feathers,1921
The Fire Cat,1921
The Fire Eater,1921
The First Born,1921
First Love,1921
Spanish Flower or the Bullfighter's Story,1923
The Flower of the North,1921
Food for Scandal,1920
Fool's Paradise,1921
The Foolish Age,1921
The Foolish Matrons,1921
Footfalls,1921
Footlights,1921
For Her Father's Sake,1921
Forbidden Fruit,1921
Forever,1921
The Four Feathers,1921
The Four Horsemen of the Apocalypse,1921
The Fox,1921
Mrs. Dane's Confession,1921
Die Frau ohne Seele,1920
The Freeze-Out,1921
Der Friedhof der Lebenden,1921
From the Ground Up,1921
Fru Mariannes friare,1921
The Fruitful Vine,1921
Der Fürst,1921
Galathea,1921
Garments of Truth,1921
Gasoline Gus,1921
Die Geheimnisse von Berlin,1921
Die Geierwally,1921
Die Geliebte Roswolskys,1921
Get Your Man,1921
Get-Rich-Quick Wallingford,1921
Gevatter Tod,1921
Ghost City,1921
The Ghost in the Garret,1921
The Gilded Lily,1921
The Girl from God's Country,1921
The Girl from Nowhere,1921
The Girl in the Taxi,1921
A Girl of the Bush,1921
Girls Don't Gamble,1920
Glorificação dos Soldados Desconhecidos Mortos na Grande Guerra,1921
Go Straight,1921
God's Crucible,1921
God's Gold,1921
Godless Men,1920
The Golden Snare,1921
The Golden Trail,1920
Good Women,1921
The Good-Bad Wife,1920
Der Graf von Cagliostro,1920
Grausige Nächte,1921
The Great Adventure,1921
The Great Impersonation,1921
The Great Moment,1921
The Greater Profit,1921
The Great Reward,1921
The Greater Claim,1921
Greater Than Love,1921
The Grim Comedian,1921
Guile of Women,1920
A Guilty Conscience,1921
Habit,1921
Hail the Woman,1921
Hamlet,1921
Handcuffs or Kisses,1921
Hands Off!,1921
Hard Cash,1921
Headin' North,1921
The Heart Line,1921
The Heart of Maryland,1921
A Heart to Let,1921
Hearts Up,1921
Hearts and Masks,1921
Hearts of Youth,1921
Heedless Moths,1921
"Heinrich, wo ist die Hose",1921
The Hell Diggers,1921
Her Face Value,1921
Her Lord and Master,1921
Her Mad Bargain,1921
Her Sturdy Oak,1921
Der Herr aus dem Zuchthaus,1922
Hickville to Broadway,1921
The Hidden Light,1920
High Gear Jeffrey,1923
High Heels,1921
The Highest Bidder,1921
The Highest Law,1921
Hintertreppe,1921
His Greatest Sacrifice,1921
His Nibs,1921
His Own Law,1920
His Pajama Girl,1920
Hold Your Horses,1921
The Hole in the Wall,1921
The Home Stretch,1921
Home Stuff,1921
Home Talent,1921
As Homenagens aos Soldados Desconhecidos,1921
The Hope Diamond Mystery,1921
The House That Jazz Built,1921
The Hunch,1921
The Hunger of the Blood,1921
Hurricane Hutch,1921
Hush,1921
Hush Money,1921
Högre ändamål,1921
I Am Guilty,1921
Idle Hands,1921
The Idle Rich,1921
The Idol of the North,1921
If Women Only Knew,1921
Ilona,1921
Im Banne der Kralle,1921
In the Heart of a Fool,1920
"Mysteries of India, Part II: Above All Law",1921
"Mysteries of India, Part I: Truth",1921
The Inner Chamber,1921
Innocent,1921
The Inside of the Cup,1921
The Invisible Fear,1921
The Invisible Power,1921
The Iron Trail,1921
Irrende Seelen,1921
Is Life Worth Living?,1921
It Isn't Being Done This Season,1921
The Jack Rider,1921
Jackie,1921
Jane Eyre,1921
Jim the Penman,1921
Johan,1921
"Apachenrache, 3. Teil - Die verschwundene Million",1921
The Jolt,1921
Jomfru Trofast,1921
The Journey's End,1921
Just Out of College,1920
Just Outside the Door,1921
Justice d'abord,1921
Kazan,1921
Kean,1921
Keeping Up with Lizzie,1921
The Kentuckians,1921
The Kid,1921
The Killer,1921
"King, Queen and Joker",1921
Kipps,1921
A Kiss in Time,1921
The Kiss,1921
Kleider machen Leute,1921
Know Your Men,1921
Krümelchen geht jagen,1921
Krümelchen in der Sommerfrische,1921
Kvarnen,1921
Kärlek och hypnotism,1921
